idProduct,idCategory,avg,low,trend,avg1,avg7,avg30
775413,1611,0.45,0.49,0.79,0.45,0.77,1.01
775416,1611,0.28,0.3,0.54,0.3,0.64,0.65
775417,1611,0.8,0.4,0.84,0.5,0.83,1.09
775420,1611,0.66,0.5,0.66,0.75,0.7,1.2
775428,1612,1.19,1.2,1.74,,,
776158,1612,2.99,3.8,4.53,,,
776159,1613,97.84,85.0,96.75,,,
776160,1613,990.0,,939.92,,,
776307,1611,5.0,3.0,4.64,5.0,4.44,4.21
776308,1611,5.49,4.0,5.76,5.48,6.05,6.59
776309,1611,5.0,4.5,6.49,5.0,6.38,6.99
776418,1615,49.9,46.99,44.49,,,
776419,1611,1.0,0.99,1.54,1.0,1.64,1.51
776420,1611,1.8,1.8,3.08,1.8,3.45,6.2
776421,1611,7.02,7.0,6.9,7.0,6.72,8.66
776422,1611,0.62,0.58,0.86,0.62,0.91,1.0
776423,1611,3.32,2.95,4.33,3.5,3.9,4.67
776424,1611,3.12,1.9,2.7,1.93,3.0,2.84
776425,1611,3.09,2.0,2.95,2.39,3.04,3.14
776426,1611,1.0,0.85,1.41,1.0,1.3,1.46
776427,1611,3.99,2.25,2.79,4.98,2.85,3.73
776428,1611,2.29,0.85,1.8,1.5,1.97,1.63
776429,1611,4.74,4.49,6.73,4.74,6.07,5.38
776430,1611,0.99,0.98,1.4,1.8,1.45,1.58
776431,1611,1.37,0.99,1.69,0.99,1.78,1.89
776432,1611,4.16,3.9,4.16,3.85,4.21,4.66
776433,1611,5.66,4.5,4.73,8.49,5.45,5.21
777496,1611,0.16,0.02,0.14,0.12,0.14,0.15
777497,1611,0.27,0.02,0.27,0.2,0.28,0.24
777498,1611,0.22,0.02,0.19,0.15,0.21,0.19
777499,1611,0.27,0.02,0.44,0.7,0.53,0.25
777500,1611,0.04,0.02,0.05,0.02,0.05,0.1
777501,1611,7.14,5.7,5.41,6.43,6.02,8.29
777502,1611,0.27,0.02,0.29,0.25,0.24,0.26
777503,1611,0.11,0.02,0.11,0.05,0.12,0.14
777504,1611,0.14,0.02,0.11,0.05,0.12,0.13
777505,1611,0.08,0.02,0.11,0.05,0.09,0.09
777506,1611,10.84,12.99,11.42,11.0,10.72,16.03
777507,1611,9.64,5.0,7.91,8.0,7.96,9.88
777508,1611,550.0,999.98,553.39,550.0,447.0,423.0
777509,1611,4.36,3.0,4.09,4.9,4.42,5.09
